Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/Aaalice233/ComfyUI-Danbooru-Gallery,https://comfysearch.snomiao.dev/github.com/Aaalice233/ComfyUI-Danbooru-Gallery,py/parameter_control_panel/parameter_control_panel.py,https://comfysearch.snomiao.dev/github.com/Aaalice233/ComfyUI-Danbooru-Gallery/-/blob/py/parameter_control_panel/parameter_control_panel.py,,"[277, [[4, 10]]]; [306, [[4, 10]]]; [331, [[4, 10]]]; [349, [[4, 10]]]; [383, [[4, 10]]]; [416, [[4, 10]]]; [453, [[4, 10]]]; [496, [[4, 10]]]; [551, [[4, 10]]]"
content,github.com/Aaalice233/ComfyUI-Danbooru-Gallery,https://comfysearch.snomiao.dev/github.com/Aaalice233/ComfyUI-Danbooru-Gallery,py/has_next_executor_group/has_next_executor_group.py,https://comfysearch.snomiao.dev/github.com/Aaalice233/ComfyUI-Danbooru-Gallery/-/blob/py/has_next_executor_group/has_next_executor_group.py,,"[157, [[4, 10]]]; [188, [[4, 10]]]"
content,github.com/ComfyAssets/ComfyUI_PromptManager,https://comfysearch.snomiao.dev/github.com/ComfyAssets/ComfyUI_PromptManager,py/api.py,https://comfysearch.snomiao.dev/github.com/ComfyAssets/ComfyUI_PromptManager/-/blob/py/api.py,,"[124, [[8, 14]]]; [134, [[8, 14]]]; [138, [[8, 14]]]; [142, [[8, 14]]]; [146, [[8, 14]]]; [150, [[8, 14]]]; [154, [[8, 14]]]; [158, [[8, 14]]]; [162, [[8, 14]]]; [166, [[8, 14]]]; [170, [[8, 14]]]; [175, [[8, 14]]]; [208, [[8, 14]]]; [240, [[8, 14]]]; [272, [[8, 14]]]; [304, [[8, 14]]]; [309, [[8, 14]]]; [313, [[8, 14]]]; [319, [[8, 14]]]; [323, [[8, 14]]]; [327, [[8, 14]]]; [331, [[8, 14]]]; [335, [[8, 14]]]; [340, [[8, 14]]]; [344, [[8, 14]]]; [348, [[8, 14]]]; [353, [[8, 14]]]; [358, [[8, 14]]]; [362, [[8, 14]]]; [367, [[8, 14]]]; [371, [[8, 14]]]; [375, [[8, 14]]]; [379, [[8, 14]]]; [383, [[8, 14]]]; [387, [[8, 14]]]; [391, [[8, 14]]]; [395, [[8, 14]]]; [399, [[8, 14]]]; [403, [[8, 14]]]; [407, [[8, 14]]]; [411, [[8, 14]]]; [416, [[8, 14]]]; [420, [[8, 14]]]; [425, [[8, 14]]]; [430, [[8, 14]]]; [434, [[8, 14]]]; [438, [[8, 14]]]; [442, [[8, 14]]]; [446, [[8, 14]]]; [450, [[8, 14]]]; [454, [[8, 14]]]"
content,github.com/MoJIeAIGC/comfyui-MJAPI-party,https://comfysearch.snomiao.dev/github.com/MoJIeAIGC/comfyui-MJAPI-party,__init__.py,https://comfysearch.snomiao.dev/github.com/MoJIeAIGC/comfyui-MJAPI-party/-/blob/__init__.py,,"[11, [[0, 6]]]; [23, [[0, 6]]]; [40, [[0, 6]]]; [59, [[0, 6]]]; [89, [[0, 6]]]; [142, [[0, 6]]]; [193, [[0, 6]]]"
content,github.com/mittimi/ComfyUI_mittimiLoadPresetLite,https://comfysearch.snomiao.dev/github.com/mittimi/ComfyUI_mittimiLoadPresetLite,nodes.py,https://comfysearch.snomiao.dev/github.com/mittimi/ComfyUI_mittimiLoadPresetLite/-/blob/nodes.py,,"[23, [[0, 6]]]"
content,github.com/aiaiaikkk/ComfyUI-Curve,https://comfysearch.snomiao.dev/github.com/aiaiaikkk/ComfyUI-Curve,nodes/photoshop/hsl.py,https://comfysearch.snomiao.dev/github.com/aiaiaikkk/ComfyUI-Curve/-/blob/nodes/photoshop/hsl.py,,"[49, [[12, 18]]]; [80, [[12, 18]]]; [117, [[12, 18]]]; [136, [[12, 18]]]; [152, [[12, 18]]]; [180, [[12, 18]]]"
content,github.com/erosDiffusion/ComfyUI-enricos-nodes,https://comfysearch.snomiao.dev/github.com/erosDiffusion/ComfyUI-enricos-nodes,Compositor3.py,https://comfysearch.snomiao.dev/github.com/erosDiffusion/ComfyUI-enricos-nodes/-/blob/Compositor3.py,,"[182, [[0, 6]]]"
content,github.com/liusida/ComfyUI-Login,https://comfysearch.snomiao.dev/github.com/liusida/ComfyUI-Login,password.py,https://comfysearch.snomiao.dev/github.com/liusida/ComfyUI-Login/-/blob/password.py,,"[78, [[0, 6]]]; [102, [[0, 6]]]; [146, [[0, 6]]]; [156, [[0, 6]]]"
content,github.com/CosmicLaca/ComfyUI_Primere_Nodes,https://comfysearch.snomiao.dev/github.com/CosmicLaca/ComfyUI_Primere_Nodes,components/primereserver.py,https://comfysearch.snomiao.dev/github.com/CosmicLaca/ComfyUI_Primere_Nodes/-/blob/components/primereserver.py,,"[40, [[0, 6]]]; [109, [[0, 6]]]; [138, [[0, 6]]]; [157, [[0, 6]]]; [164, [[0, 6]]]; [196, [[0, 6]]]; [214, [[0, 6]]]; [262, [[0, 6]]]; [293, [[0, 6]]]; [302, [[0, 6]]]; [311, [[0, 6]]]; [364, [[0, 6]]]; [389, [[0, 6]]]; [418, [[0, 6]]]; [427, [[0, 6]]]; [454, [[0, 6]]]"
content,github.com/LAOGOU-666/Comfyui-LG_GroupExecutor,https://comfysearch.snomiao.dev/github.com/LAOGOU-666/Comfyui-LG_GroupExecutor,py/lgutils.py,https://comfysearch.snomiao.dev/github.com/LAOGOU-666/Comfyui-LG_GroupExecutor/-/blob/py/lgutils.py,,"[683, [[0, 6]]]; [698, [[0, 6]]]; [724, [[0, 6]]]; [742, [[0, 6]]]"
