Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/danger-electrodes/ComfyUI_Fawfluencer_Nodes,https://comfysearch.snomiao.dev/github.com/danger-electrodes/ComfyUI_Fawfluencer_Nodes,fawfulized_nodes/control_nets/custom_controlnet_aux/dsine/models/submodules/efficientnet_repo/README.md,https://comfysearch.snomiao.dev/github.com/danger-electrodes/ComfyUI_Fawfluencer_Nodes/-/blob/fawfulized_nodes/control_nets/custom_controlnet_aux/dsine/models/submodules/efficientnet_repo/README.md,,"[268, [[34, 38]]]"
content,github.com/danger-electrodes/ComfyUI_Fawfluencer_Nodes,https://comfysearch.snomiao.dev/github.com/danger-electrodes/ComfyUI_Fawfluencer_Nodes,fawfulized_nodes/control_nets/custom_controlnet_aux/normalbae/nets/submodules/efficientnet_repo/README.md,https://comfysearch.snomiao.dev/github.com/danger-electrodes/ComfyUI_Fawfluencer_Nodes/-/blob/fawfulized_nodes/control_nets/custom_controlnet_aux/normalbae/nets/submodules/efficientnet_repo/README.md,,"[268, [[34, 38]]]"
content,github.com/danger-electrodes/ComfyUI_Fawfluencer_Nodes,https://comfysearch.snomiao.dev/github.com/danger-electrodes/ComfyUI_Fawfluencer_Nodes,fawfulized_nodes/control_nets/custom_controlnet_aux/depth_anything/torchhub/facebookresearch_dinov2_main/README.md,https://comfysearch.snomiao.dev/github.com/danger-electrodes/ComfyUI_Fawfluencer_Nodes/-/blob/fawfulized_nodes/control_nets/custom_controlnet_aux/depth_anything/torchhub/facebookresearch_dinov2_main/README.md,,"[91, [[15, 19]]]"
content,github.com/Sxela/ComfyWarp,https://comfysearch.snomiao.dev/github.com/Sxela/ComfyWarp,run.bat,https://comfysearch.snomiao.dev/github.com/Sxela/ComfyWarp/-/blob/run.bat,,"[6, [[21, 25]]]"
content,github.com/Sxela/ComfyWarp,https://comfysearch.snomiao.dev/github.com/Sxela/ComfyWarp,install.bat,https://comfysearch.snomiao.dev/github.com/Sxela/ComfyWarp/-/blob/install.bat,,"[5, [[43, 47]]]; [10, [[21, 25]]]; [51, [[16, 20]]]"
content,github.com/smthemex/ComfyUI_Sapiens,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_Sapiens,README.md,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_Sapiens/-/blob/README.md,,"[11, [[193, 197]]]"
content,github.com/Laurent2916/comfyui-piq,https://comfysearch.snomiao.dev/github.com/Laurent2916/comfyui-piq,README.md,https://comfysearch.snomiao.dev/github.com/Laurent2916/comfyui-piq/-/blob/README.md,,"[34, [[25, 29]]]"
content,github.com/smthemex/ComfyUI_Hallo2,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_Hallo2,hallo/basicsr/utils/video_util.py,https://comfysearch.snomiao.dev/github.com/smthemex/ComfyUI_Hallo2/-/blob/hallo/basicsr/utils/video_util.py,,"[12, [[4, 8]]]"
content,github.com/if-ai/ComfyUI-IF_AI_ParlerTTSNode,https://comfysearch.snomiao.dev/github.com/if-ai/ComfyUI-IF_AI_ParlerTTSNode,README.md,https://comfysearch.snomiao.dev/github.com/if-ai/ComfyUI-IF_AI_ParlerTTSNode/-/blob/README.md,,"[7, [[61, 65]]]"
content,github.com/JohnDoeSmithee/ComfyUI-SoX-Mixdown,https://comfysearch.snomiao.dev/github.com/JohnDoeSmithee/ComfyUI-SoX-Mixdown,__init__.py,https://comfysearch.snomiao.dev/github.com/JohnDoeSmithee/ComfyUI-SoX-Mixdown/-/blob/__init__.py,,"[16, [[8, 12]]]"
content,github.com/ahernandezmiro/ComfyUI-GCP_Storage_tools,https://comfysearch.snomiao.dev/github.com/ahernandezmiro/ComfyUI-GCP_Storage_tools,__init__.py,https://comfysearch.snomiao.dev/github.com/ahernandezmiro/ComfyUI-GCP_Storage_tools/-/blob/__init__.py,,"[8, [[8, 12]]]"
